station,city
"CADEREYTA, MX",Cadereyta Jiménez
"SANTA CATARINA, MX",Santa Catarina
"EL CERRITO, MX",Allende
"RINCONADA, MX",Rinconada
"LAGUNA DE SANCHEZ, MX",Santiago
"CIENEGA DE FLORES, MX",Ciénega de Flores
"SALINAS VICTORIA, MX",Salinas Victoria
"LA HUASTEQUITA, MX",Santa Catarina
"PALMITOS GE, MX",Cadereyta Jiménez
"LA CRUZ, MX",Hualahuises
"SAN BARTOLO, MX",Cadereyta Jiménez
"EL HOJASE, MX",Salinas Victoria
"JAME, MX",Jame
"MONTERREY CITY, MX",Monterrey
"EL PAJONAL, MX",Santa Catarina
"EJIDO MARIN, MX",Marín
"LA BOCA, MX",Santiago
"HIGUERAS DGE, MX",Higueras
"APODACA, MX",Ciudad Apodaca
"ICAMOLE, MX",García
"DOCTOR GONZALEZ, MX",Doctor González
"MAMULIQUE, MX",Salinas Victoria
"CHUPADEROS DEL INDIO, MX",García
"MINA, MX",Mina
"AGUA BLANCA, MX",Galeana
"GRUTAS DE GARCIA, MX",García
"LA CIENEGA, MX",Santiago
"TOPO CHICO, MX",Monterrey
"POTRERO DE ABREGO, MX",Potrero de Abrego
"CIENEGA DE LA PURISIMA, MX",Ciénega de la Purísima
